,Title,Artist,Year
0,Breathe,Faith Hill,2000
1,Smooth,Santana,2000
2,Maria Maria,Santana,2000
3,I Wanna Know,Joe,2000
4,Everything You Want,Vertical Horizon,2000
5,Say My Name,Destiny's Child,2000
6,I Knew I Loved You,Savage Garden,2000
7,Amazed,Lonestar,2000
8,Bent,Matchbox Twenty,2000
9,He Wasn't Man Enough,Toni Braxton,2000
10,Higher,Creed,2000
11,Try Again,Aaliyah,2000
12,"Jumpin', Jumpin'",Destiny's Child,2000
13,Thong Song,Sisqó,2000
14,Kryptonite,3 Doors Down,2000
15,There You Go,Pink,2000
16,Music,Madonna,2000
17,Doesn't Really Matter,Janet Jackson,2000
18,What a Girl Wants,Christina Aguilera,2000
19,Back at One,Brian McKnight,2000
20,Bye Bye Bye,'N Sync,2000
21,You Sang to Me,Marc Anthony,2000
22,I Need to Know,Marc Anthony,2000
23,Get It On Tonite,Montell Jordan,2000
24,Incomplete,Sisqó,2000
25,I Try,Macy Gray,2000
26,It's Gonna Be Me,'N Sync,2000
27,That's The Way It Is,Celine Dion,2000
28,Country Grammar (Hot Shit),Nelly,2000
29,Bring It All to Me,Blaque,2000
30,Show Me the Meaning of Being Lonely,Backstreet Boys,2000
31,Hot Boyz,Missy Elliott,2000
32,Back Here,BBMak,2000
33,It Feels So Good,Sonique,2000
34,Absolutely (Story of a Girl),Nine Days,2000
35,With Arms Wide Open,Creed,2000
36,Be with You,Enrique Iglesias,2000
37,Come On Over Baby (All I Want Is You),Christina Aguilera,2000
38,No More,Ruff Endz,2000
39,All The Small Things,Blink 182,2000
40,The Way You Love Me,Faith Hill,2000
41,I Turn To You,Christina Aguilera,2000
42,Never Let You Go,Third Eye Blind,2000
43,I Need You,LeAnn Rimes,2000
44,Thank God I Found You,Mariah Carey,2000
45,Let's Get Married,Jagged Edge,2000
46,My Love Is Your Love,Whitney Houston,2000
47,Then The Morning Comes,Smash Mouth,2000
48,Blue (Da Ba Dee),Eiffel 65,2000
49,Desert Rose,Sting,2000
50,The Real Slim Shady,Eminem,2000
51,Most Girls,Pink,2000
52,Wifey,Next,2000
53,Wonderful,Everclear,2000
54,Oops!... I Did It Again,Britney Spears,2000
55,I Wanna Love You Forever,Jessica Simpson,2000
56,Give Me Just One Night (Una Noche),98 Degrees,2000
57,Take a Picture,Filter,2000
58,Otherside,Red Hot Chili Peppers,2000
59,Big Pimpin',Jay-Z,2000
60,A Puro Dolor,Son by Four,2000
61,He Can't Love U,Jagged Edge,2000
62,Separated,Avant,2000
63,I Wish,Carl Thomas,2000
64,U Know What's Up,Donell Jones,2000
65,Faded,soulDecision,2000
66,Only God Knows Why,Kid Rock,2000
67,Shake Ya Ass,Mystikal,2000
68,Bag Lady,Erykah Badu,2000
69,Meet Virginia,Train,2000
70,Party Up (Up in Here),DMX,2000
71,Case of the Ex,Mýa,2000
72,Forgot About Dre,Dr. Dre,2000
73,That's the Way,Jo Dee Messina,2000
74,Swear It Again,Westlife,2000
75,The Next Episode,Dr. Dre,2000
76,From the Bottom of My Broken Heart,Britney Spears,2000
77,Crash and Burn,Savage Garden,2000
78,Yes!,Chad Brock,2000
79,The Best Day,George Strait,2000
80,Where I Wanna Be,Donell Jones,2000
81,How Do You Like Me Now?!,Toby Keith,2000
82,My Best Friend,Tim McGraw,2000
83,Broadway,Goo Goo Dolls,2000
84,What'chu Like,Da Brat,2000
85,Don't Think I'm Not,Kandi,2000
86,I Hope You Dance,Lee Ann Womack,2000
87,Better Off Alone,Alice Deejay,2000
88,Dance with Me,Debelah Morgan,2000
89,What About Now,Lonestar,2000
90,I Like It,Sammie,2000
91,24/7,Kevon Edmonds,2000
92,Girl on TV,LFO,2000
93,Bounce with Me,Lil' Bow Wow,2000
94,Cowboy Take Me Away,Dixie Chicks,2000
95,I Don't Wanna,Aaliyah,2000
96,Independent Women,Destiny's Child,2000
97,Gotta Tell You,Samantha Mumba,2000
98,Waiting for Tonight,Jennifer Lopez,2000
99,Shackles (Praise You),Mary Mary,2000
100,Hanging by a Moment,Lifehouse,2001
101,Fallin',Alicia Keys,2001
102,All for You,Janet Jackson,2001
103,Drops of Jupiter (Tell Me),Train,2001
104,I'm Real (Murder Remix),Jennifer Lopez,2001
105,If You're Gone,Matchbox Twenty,2001
106,Let Me Blow Ya Mind,Eve,2001
107,Thank You,Dido,2001
108,Again,Lenny Kravitz,2001
109,Independent Women,Destiny's Child,2001
110,Hit 'Em Up Style (Oops!),Blu Cantrell,2001
111,It Wasn't Me,Shaggy,2001
112,Stutter,Joe,2001
113,It's Been Awhile,Staind,2001
114,U Remind Me,Usher,2001
115,Where the Party At,Jagged Edge,2001
116,Angel,Shaggy,2001
117,Ride wit Me,Nelly,2001
118,Follow Me,Uncle Kracker,2001
119,Peaches & Cream,112,2001
120,Drive,Incubus,2001
121,What Would You Do?,City High,2001
122,Survivor,Destiny's Child,2001
123,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa and Pink",2001
124,Ms. Jackson,OutKast,2001
125,Love Don't Cost a Thing,Jennifer Lopez,2001
126,The Way You Love Me,Faith Hill,2001
127,He Loves U Not,Dream,2001
128,Butterfly,Crazy Town,2001
129,Put It on Me,Ja Rule,2001
130,Family Affair,Mary J. Blige,2001
131,I Hope You Dance,Lee Ann Womack,2001
132,South Side,Moby,2001
133,Don't Tell Me,Madonna,2001
134,Get Ur Freak On,Missy Elliott,2001
135,Crazy,K-Ci & JoJo,2001
136,Fill Me In,Craig David,2001
137,Someone to Call My Lover,Janet Jackson,2001
138,With Arms Wide Open,Creed,2001
139,Case of the Ex,Mýa,2001
140,All or Nothing,O-Town,2001
141,Bootylicious,Destiny's Child,2001
142,I'm Like a Bird,Nelly Furtado,2001
143,Kryptonite,3 Doors Down,2001
144,Fiesta,R. Kelly,2001
145,When It's Over,Sugar Ray,2001
146,Jaded,Aerosmith,2001
147,Promise,Jagged Edge,2001
148,Missing You,Case,2001
149,Differences,Ginuwine,2001
150,This I Promise You,'N Sync,2001
151,Izzo (H.O.V.A.),Jay-Z,2001
152,Superwoman Pt. II,Lil' Mo,2001
153,Crazy for This Girl,Evan and Jaron,2001
154,Nobody Wants to Be Lonely,Ricky Martin and Christina Aguilera,2001
155,I Just Wanna Love U (Give It 2 Me),Jay-Z,2001
156,One Minute Man,Missy Elliott,2001
157,Danger (Been So Long),Mystikal,2001
158,Only Time,Enya,2001
159,I Do!!,Toya,2001
160,Never Had a Dream Come True,S Club 7,2001
161,Stranger in My House,Tamia,2001
162,Irresistible,Jessica Simpson,2001
163,Heard It All Before,Sunshine Anderson,2001
164,The Space Between,Dave Matthews Band,2001
165,There You'll Be,Faith Hill,2001
166,Love,Musiq Soulchild,2001
167,It's Over Now,112,2001
168,No More (Baby I'ma Do Right),3LW,2001
169,Turn Off the Light,Nelly Furtado,2001
170,Ain't Nothing 'bout You,Brooks & Dunn,2001
171,Play,Jennifer Lopez,2001
172,I'm Already There,Lonestar,2001
173,My Baby,Lil' Romeo,2001
174,Beautiful Day,U2,2001
175,Austin,Blake Shelton,2001
176,Southern Hospitality,Ludacris,2001
177,Grown Men Don't Cry,Tim McGraw,2001
178,Livin' It Up,Ja Rule,2001
179,Loverboy,Mariah Carey,2001
180,Contagious,The Isley Brothers,2001
181,Who I Am,Jessica Andrews,2001
182,Music,Erick Sermon,2001
183,I Wanna Be Bad,Willa Ford,2001
184,Don't Happen Twice,Kenny Chesney,2001
185,One More Day,Diamond Rio,2001
186,I Wish,R. Kelly,2001
187,It's a Great Day to Be Alive,Travis Tritt,2001
188,I'm a Thug,Trick Daddy,2001
189,Here's to the Night,Eve 6,2001
190,You Shouldn't Kiss Me Like This,Toby Keith,2001
191,Get Over Yourself,Eden's Crush,2001
192,Dance with Me,Debelah Morgan,2001
193,So Fresh So Clean,Outkast,2001
194,E.I.,Nelly,2001
195,Be Like That,3 Doors Down,2001
196,Most Girls,Pink,2001
197,Oochie Wally,Nas and Bravehearts,2001
198,Hero,Enrique Iglesias,2001
199,Hemorrhage (In My Hands),Fuel,2001
200,How You Remind Me,Nickelback,2002
201,Foolish,Ashanti,2002
202,Hot in Herre,Nelly,2002
203,Dilemma,Nelly,2002
204,Wherever You Will Go,The Calling,2002
205,A Thousand Miles,Vanessa Carlton,2002
206,In the End,Linkin Park,2002
207,What's Luv?,Fat Joe,2002
208,U Got It Bad,Usher,2002
209,Blurry,Puddle of Mudd,2002
210,Complicated,Avril Lavigne,2002
211,Always on Time,Ja Rule,2002
212,Ain't It Funny (Murder Remix),Jennifer Lopez,2002
213,The Middle,Jimmy Eat World,2002
214,I Need a Girl (Part One),P. Diddy,2002
215,U Don't Have to Call,Usher,2002
216,Family Affair,Mary J. Blige,2002
217,I Need a Girl (Part Two),P. Diddy,2002
218,Gangsta Lovin',Eve,2002
219,My Sacrifice,Creed,2002
220,Without Me,Eminem,2002
221,Hero,Enrique Iglesias,2002
222,All You Wanted,Michelle Branch,2002
223,Get the Party Started,Pink,2002
224,Hero,Chad Kroeger,2002
225,Wasting My Time,Default,2002
226,One Last Breath,Creed,2002
227,"Whenever, Wherever",Shakira,2002
228,I'm Gonna Be Alright,Jennifer Lopez,2002
229,Oh Boy,Cam'ron,2002
230,Heaven,DJ Sammy,2002
231,Hey Baby,No Doubt,2002
232,Girlfriend,'N Sync,2002
233,Just a Friend 2002,Mario,2002
234,Soak Up the Sun,Sheryl Crow,2002
235,Don't Let Me Get Me,Pink,2002
236,Nothin',N.O.R.E.,2002
237,Oops (Oh My),Tweet,2002
238,A Moment Like This,Kelly Clarkson,2002
239,Addictive,Truth Hurts,2002
240,Happy,Ashanti,2002
241,No Such Thing,John Mayer,2002
242,Just Like a Pill,Pink,2002
243,Down 4 U,Ja Rule,2002
244,Can't Get You Out of My Head,Kylie Minogue,2002
245,Superman (It's Not Easy),Five for Fighting,2002
246,Cleanin' Out My Closet,Eminem,2002
247,Halfcrazy,Musiq Soulchild,2002
248,"Lights, Camera, Action!",Mr. Cheeks,2002
249,Still Fly,Big Tymers,2002
250,A Woman's Worth,Alicia Keys,2002
251,7 Days,Craig David,2002
252,Hey Ma,Cam'ron,2002
253,Work It,Missy Elliott,2002
254,Move Bitch,Ludacris,2002
255,Can't Fight the Moonlight,LeAnn Rimes,2002
256,Escape,Enrique Iglesias,2002
257,More than a Woman,Aaliyah,2002
258,Hella Good,No Doubt,2002
259,I Love You,Faith Evans,2002
260,Gotta Get thru This,Daniel Bedingfield,2002
261,"Pass the Courvoisier, Part II",Busta Rhymes,2002
262,Lose Yourself,Eminem,2002
263,Butterflies,Michael Jackson,2002
264,What About Us?,Brandy,2002
265,Underneath Your Clothes,Shakira,2002
266,Rainy Dayz,Mary J. Blige,2002
267,Differences,Ginuwine,2002
268,If I Could Go!,Angie Martinez,2002
269,The Whole World,Outkast,2002
270,Underneath It All,No Doubt,2002
271,Caramel,City High,2002
272,Luv U Better,LL Cool J,2002
273,Gimme the Light,Sean Paul,2002
274,Gone,'N Sync,2002
275,Livin' It Up,Ja Rule,2002
276,Rollout (My Business),Ludacris,2002
277,Here Is Gone,Goo Goo Dolls,2002
278,No More Drama,Mary J. Blige,2002
279,Days Go By,Dirty Vegas,2002
280,Baby,Ashanti,2002
281,The Good Stuff,Kenny Chesney,2002
282,We Thuggin',Fat Joe,2002
283,Good Morning Beautiful,Steve Holy,2002
284,Rock the Boat,Aaliyah,2002
285,Drive (For Daddy Gene),Alan Jackson,2002
286,Standing Still,Jewel,2002
287,Anything,Jaheim,2002
288,Full Moon,Brandy,2002
289,Uh Huh,B2K,2002
290,A New Day Has Come,Celine Dion,2002
291,Turn Off the Light,Nelly Furtado,2002
292,Living and Living Well,George Strait,2002
293,My List,Toby Keith,2002
294,Hands Clean,Alanis Morissette,2002
295,Sk8er Boi,Avril Lavigne,2002
296,Long Time Gone,Dixie Chicks,2002
297,Where Were You (When the World Stopped Turning),Alan Jackson,2002
298,Like I Love You,Justin Timberlake,2002
299,I Do!!,Toya,2002
300,In Da Club,50 Cent,2003
301,Ignition (Remix),R. Kelly,2003
302,Get Busy,Sean Paul,2003
303,Crazy in Love,Beyoncé,2003
304,When I'm Gone,3 Doors Down,2003
305,Unwell,Matchbox Twenty,2003
306,Right Thurr,Chingy,2003
307,Miss You,Aaliyah,2003
308,Picture,Kid Rock,2003
309,Bring Me to Life,Evanescence,2003
310,Get Low,Lil Jon & The East Side Boyz,2003
311,Baby Boy,Beyoncé,2003
312,Shake Ya Tailfeather,"Nelly, P. Diddy and Murphy Lee",2003
313,21 Questions,50 Cent,2003
314,All I Have,Jennifer Lopez,2003
315,Beautiful,Christina Aguilera,2003
316,I Know What You Want,Busta Rhymes and Mariah Carey,2003
317,I'm with You,Avril Lavigne,2003
318,Drift Away,Uncle Kracker,2003
319,Magic Stick,Lil' Kim,2003
320,P.I.M.P.,50 Cent,2003
321,"Bump, Bump, Bump",B2K and P. Diddy,2003
322,Into You,Fabolous,2003
323,Can't Let You Go,Fabolous,2003
324,Mesmerize,Ja Rule,2003
325,Where Is the Love?,The Black Eyed Peas,2003
326,The Game of Love,Santana,2003
327,Lose Yourself,Eminem,2003
328,Rock wit U (Awww Baby),Ashanti,2003
329,Cry Me a River,Justin Timberlake,2003
330,How You Gonna Act Like That,Tyrese,2003
331,Rock Your Body,Justin Timberlake,2003
332,No Letting Go,Wayne Wonder,2003
333,Frontin',Pharrell,2003
334,Landslide,Dixie Chicks,2003
335,Work It,Missy Elliott,2003
336,'03 Bonnie & Clyde,Jay-Z,2003
337,Don't Mess with My Man,Nivea,2003
338,So Gone,Monica,2003
339,Air Force Ones,Nelly,2003
340,"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,2003
341,Beautiful,Snoop Dogg,2003
342,Gossip Folks,Missy Elliott,2003
343,Miss Independent,Kelly Clarkson,2003
344,Calling All Angels,Train,2003
345,Damn!,YoungBloodZ,2003
346,This Is the Night,Clay Aiken,2003
347,Your Body Is a Wonderland,John Mayer,2003
348,Headstrong,Trapt,2003
349,In Those Jeans,Ginuwine,2003
350,Stand Up,Ludacris,2003
351,The Remedy (I Won't Worry),Jason Mraz,2003
352,Why Don't You & I,Santana,2003
353,Excuse Me Miss,Jay-Z,2003
354,Jenny from the Block,Jennifer Lopez,2003
355,Are You Happy Now?,Michelle Branch,2003
356,Forever and for Always,Shania Twain,2003
357,I Can,Nas,2003
358,Underneath It All,No Doubt,2003
359,If You're Not the One,Daniel Bedingfield,2003
360,Thoia Thoing,R. Kelly,2003
361,Here Without You,3 Doors Down,2003
362,Wanksta,50 Cent,2003
363,My Love Is Like...Wo,Mýa,2003
364,It's Five O'Clock Somewhere,Alan Jackson,2003
365,Like Glue,Sean Paul,2003
366,Can't Hold Us Down,Christina Aguilera,2003
367,My Front Porch Looking In,Lonestar,2003
368,Angel,Amanda Perez,2003
369,She Hates Me,Puddle of Mudd,2003
370,Don't Wanna Try,Frankie J,2003
371,The Jump Off,Lil' Kim,2003
372,Intuition,Jewel,2003
373,Hell Yeah,Ginuwine,2003
374,Beer for My Horses,Toby Keith,2003
375,Holidae In,Chingy,2003
376,Suga Suga,Baby Bash,2003
377,Love of My Life (An Ode to Hip-Hop),Erykah Badu,2003
378,Fighter,Christina Aguilera,2003
379,Thugz Mansion,2Pac,2003
380,Clocks,Coldplay,2003
381,Put That Woman First,Jaheim,2003
382,Rain on Me,Ashanti,2003
383,19 Somethin',Mark Wills,2003
384,"Can't Stop, Won't Stop",Young Gunz,2003
385,Red Dirt Road,Brooks & Dunn,2003
386,What Was I Thinkin',Dierks Bentley,2003
387,Flying Without Wings,Ruben Studdard,2003
388,Sing for the Moment,Eminem,2003
389,Have You Forgotten?,Darryl Worley,2003
390,"No Shoes, No Shirt, No Problems",Kenny Chesney,2003
391,Come Over,Aaliyah,2003
392,Sick of Being Lonely,Field Mob,2003
393,Step in the Name of Love,R. Kelly,2003
394,I Want You,Thalía,2003
395,Like a Stone,Audioslave,2003
396,Don't Know Why,Norah Jones,2003
397,Superman,Eminem,2003
398,Real Good Man,Tim McGraw,2003
399,Say Yes,Floetry,2003
400,Yeah!,Usher,2004
401,Burn,Usher,2004
402,If I Ain't Got You,Alicia Keys,2004
403,This Love,Maroon 5,2004
404,The Way You Move,OutKast,2004
405,The Reason,Hoobastank,2004
406,I Don't Wanna Know,Mario Winans,2004
407,Hey Ya!,OutKast,2004
408,Goodies,Ciara,2004
409,Lean Back,Terror Squad,2004
410,Tipsy,J-Kwon,2004
411,Confessions Part II,Usher,2004
412,Slow Motion,Juvenile,2004
413,Freek-a-Leek,Petey Pablo,2004
414,Here Without You,3 Doors Down,2004
415,Slow Jamz,Twista,2004
416,Someday,Nickelback,2004
417,Naughty Girl,Beyoncé,2004
418,My Immortal,Evanescence,2004
419,Sunshine,Lil' Flip,2004
420,Dirt Off Your Shoulder,Jay-Z,2004
421,Move Ya Body,Nina Sky,2004
422,Dip It Low,Christina Milian,2004
423,My Boo,Usher and Alicia Keys,2004
424,One Call Away,Chingy,2004
425,"Me, Myself and I",Beyoncé,2004
426,Turn Me On,Kevin Lyttle,2004
427,The First Cut Is the Deepest,Sheryl Crow,2004
428,You Don't Know My Name,Alicia Keys,2004
429,My Place,Nelly,2004
430,Overnight Celebrity,Twista,2004
431,Hotel,Cassidy,2004
432,Numb,Linkin Park,2004
433,Diary,Alicia Keys,2004
434,She Will Be Loved,Maroon 5,2004
435,White Flag,Dido,2004
436,Heaven,Los Lonely Boys,2004
437,It's My Life,No Doubt,2004
438,Pieces of Me,Ashlee Simpson,2004
439,Leave (Get Out),JoJo,2004
440,Milkshake,Kelis,2004
441,Splash Waterfalls,Ludacris,2004
442,Jesus Walks,Kanye West,2004
443,Locked Up,Akon,2004
444,Stand Up,Ludacris,2004
445,Suga Suga,Baby Bash,2004
446,All Falls Down,Kanye West,2004
447,Toxic,Britney Spears,2004
448,Salt Shaker,Ying Yang Twins,2004
449,With You,Jessica Simpson,2004
450,Meant to Live,Switchfoot,2004
451,I Like That,Houston,2004
452,Sorry 2004,Ruben Studdard,2004
453,My Happy Ending,Avril Lavigne,2004
454,On Fire,Lloyd Banks,2004
455,Roses,Outkast,2004
456,Walked Outta Heaven,Jagged Edge,2004
457,Lose My Breath,Destiny's Child,2004
458,My Band,D12,2004
459,I'm Still in Love with You,Sean Paul,2004
460,Through the Wire,Kanye West,2004
461,Why?,Jadakiss,2004
462,Fuck It (I Don't Want You Back),Eamon,2004
463,Read Your Mind,Avant,2004
464,Game Over (Flip),Lil' Flip,2004
465,One Thing,Finger Eleven,2004
466,Headsprung,LL Cool J,2004
467,Damn!,YoungBloodZ,2004
468,Baby Boy,Beyoncé,2004
469,Get Low,Lil Jon & the East Side Boyz,2004
470,Drop It Like It's Hot,Snoop Dogg,2004
471,U Should've Known Better,Monica,2004
472,On the Way Down,Ryan Cabrera,2004
473,Breakaway,Kelly Clarkson,2004
474,Why Don't You & I,Santana,2004
475,Are You Gonna Be My Girl,Jet,2004
476,100 Years,Five for Fighting,2004
477,Step in the Name of Love,R. Kelly,2004
478,Breaking the Habit,Linkin Park,2004
479,Gigolo,Nick Cannon,2004
480,Live Like You Were Dying,Tim McGraw,2004
481,Remember When,Alan Jackson,2004
482,Everytime,Britney Spears,2004
483,Southside,Lloyd,2004
484,Dude,Beenie Man,2004
485,Wanna Get to Know You,G-Unit,2004
486,Holidae In,Chingy,2004
487,Let's Get It Started,The Black Eyed Peas,2004
488,When the Sun Goes Down,Kenny Chesney,2004
489,American Soldier,Toby Keith,2004
490,Change Clothes,Jay-Z,2004
491,Don't Tell Me,Avril Lavigne,2004
492,You'll Think of Me,Keith Urban,2004
493,Happy People,R. Kelly,2004
494,Hey Mama,The Black Eyed Peas,2004
495,Over and Over,Nelly,2004
496,Redneck Woman,Gretchen Wilson,2004
497,Just Lose It,Eminem,2004
498,Letters from Home,John Michael Montgomery,2004
499,I Go Back,Kenny Chesney,2004
500,We Belong Together,Mariah Carey,2005
501,Hollaback Girl,Gwen Stefani,2005
502,Let Me Love You,Mario,2005
503,Since U Been Gone,Kelly Clarkson,2005
504,"1, 2 Step",Ciara,2005
505,Gold Digger,Kanye West,2005
506,Boulevard of Broken Dreams,Green Day,2005
507,Candy Shop,50 Cent,2005
508,Don't Cha,The Pussycat Dolls,2005
509,Behind These Hazel Eyes,Kelly Clarkson,2005
510,Disco Inferno,50 Cent,2005
511,You and Me,Lifehouse,2005
512,Don't Phunk with My Heart,The Black Eyed Peas,2005
513,Lose Control,Missy Elliott,2005
514,Shake It Off,Mariah Carey,2005
515,Mr. Brightside,The Killers,2005
516,Just a Lil Bit,50 Cent,2005
517,Pon de Replay,Rihanna,2005
518,How We Do,The Game,2005
519,Beverly Hills,Weezer,2005
520,Oh,Ciara,2005
521,Lonely No More,Rob Thomas,2005
522,Drop It Like It's Hot,Snoop Dogg,2005
523,Hate It or Love It,The Game,2005
524,Lovers & Friends,Lil Jon,2005
525,Soldier,Destiny's Child,2005
526,Breakaway,Kelly Clarkson,2005
527,Switch,Will Smith,2005
528,Let Me Hold You,Bow Wow,2005
529,Like You,Bow Wow,2005
530,Rich Girl,Gwen Stefani,2005
531,My Humps,The Black Eyed Peas,2005
532,Obsession (No Es Amor),Frankie J,2005
533,Caught Up,Usher,2005
534,Listen to Your Heart,DHT,2005
535,Scars,Papa Roach,2005
536,Feel Good Inc.,Gorillaz,2005
537,Let Me Go,3 Doors Down,2005
538,Holiday,Green Day,2005
539,"Sugar, We're Goin Down",Fall Out Boy,2005
540,Grind with Me,Pretty Ricky,2005
541,Run It!,Chris Brown,2005
542,Photograph,Nickelback,2005
543,Lonely,Akon,2005
544,Collide,Howie Day,2005
545,Wake Me Up When September Ends,Green Day,2005
546,Slow Down,Bobby Valentino,2005
547,Over and Over,Nelly,2005
548,Some Cut,Trillville,2005
549,Get It Poppin',Fat Joe,2005
550,Play,David Banner,2005
551,Soul Survivor,Young Jeezy,2005
552,Pimpin' All Over the World,Ludacris,2005
553,My Boo,Usher and Alicia Keys,2005
554,Sugar (Gimme Some),Trick Daddy,2005
555,Karma,Alicia Keys,2005
556,Speed of Sound,Coldplay,2005
557,I Don't Want to Be,Gavin DeGraw,2005
558,Mockingbird,Eminem,2005
559,La Tortura,Shakira,2005
560,She Will Be Loved,Maroon 5,2005
561,Baby I'm Back,Baby Bash,2005
562,Wait (The Whisper Song),Ying Yang Twins,2005
563,Incomplete,Backstreet Boys,2005
564,Bring Em Out,T.I.,2005
565,Cater 2 U,Destiny's Child,2005
566,1 Thing,Amerie,2005
567,Best of You,Foo Fighters,2005
568,It's Like That,Mariah Carey,2005
569,Goin' Crazy,Natalie,2005
570,Inside Your Heaven,Carrie Underwood,2005
571,Because of You,Kelly Clarkson,2005
572,Truth Is,Fantasia,2005
573,Your Body,Pretty Ricky,2005
574,Beautiful Soul,Jesse McCartney,2005
575,Cool,Gwen Stefani,2005
576,Get Back,Ludacris,2005
577,Outta Control,50 Cent,2005
578,U Don't Know Me,T.I.,2005
579,These Words,Natasha Bedingfield,2005
580,Don't Lie,The Black Eyed Peas,2005
581,Get Right,Jennifer Lopez,2005
582,Daughters,John Mayer,2005
583,As Good as I Once Was,Toby Keith,2005
584,Girlfight,Brooke Valentine,2005
585,Lose My Breath,Destiny's Child,2005
586,Ordinary People,John Legend,2005
587,We Be Burnin',Sean Paul,2005
588,Just the Girl,The Click Five,2005
589,True,Ryan Cabrera,2005
590,O,Omarion,2005
591,Back Then,Mike Jones,2005
592,Numb/Encore,Jay-Z and Linkin Park,2005
593,Wonderful,Ja Rule,2005
594,I'm Sprung,T-Pain,2005
595,Chariot,Gavin DeGraw,2005
596,U Already Know,112,2005
597,Mississippi Girl,Faith Hill,2005
598,Number One Spot,Ludacris,2005
599,Give Me That,Webbie,2005
600,Bad Day,Daniel Powter,2006
601,Temperature,Sean Paul,2006
602,Promiscuous,Nelly Furtado,2006
603,You're Beautiful,James Blunt,2006
604,Hips Don't Lie,Shakira,2006
605,Unwritten,Natasha Bedingfield,2006
606,Crazy,Gnarls Barkley,2006
607,Ridin',Chamillionaire,2006
608,SexyBack,Justin Timberlake,2006
609,Check on It,Beyoncé,2006
610,Be Without You,Mary J. Blige,2006
611,Grillz,"Nelly, Paul Wall and Ali & Gipp",2006
612,Over My Head (Cable Car),The Fray,2006
613,Me & U,Cassie,2006
614,Buttons,Pussycat Dolls,2006
615,Run It!,Chris Brown,2006
616,So Sick,Ne-Yo,2006
617,It's Goin' Down,Yung Joc,2006
618,SOS,Rihanna,2006
619,I Write Sins Not Tragedies,Panic! at the Disco,2006
620,Move Along,The All-American Rejects,2006
621,London Bridge,Fergie,2006
622,Dani California,Red Hot Chili Peppers,2006
623,Snap Yo Fingers,Lil Jon,2006
624,"Lean wit It, Rock wit It",Dem Franchize Boyz,2006
625,What Hurts the Most,Rascal Flatts,2006
626,How to Save a Life,The Fray,2006
627,Unfaithful,Rihanna,2006
628,Chasing Cars,Snow Patrol,2006
629,Lips of an Angel,Hinder,2006
630,Everytime We Touch,Cascada,2006
631,Ain't No Other Man,Christina Aguilera,2006
632,"Dance, Dance",Fall Out Boy,2006
633,Gold Digger,Kanye West,2006
634,Money Maker,Ludacris,2006
635,Ms. New Booty,Bubba Sparxxx,2006
636,(When You Gonna) Give It Up to Me,Sean Paul,2006
637,Photograph,Nickelback,2006
638,Because of You,Kelly Clarkson,2006
